cover up
write off
illegal
failed investment
nobody will find out
grey area
they owe it to me
do not volunteer information
not ethical
off the books
backdate
no inspection
pull earnings forward
special fees
friendly payments
keep it between us
keep this between us
keep this to ourselves
keep this to yourself
keep us out of trouble
cheating
under the radar
malpractice
unethical
fake accounts
without authorization
don't tell anyone
scam
no one will find out
want no part of this
don't leave a trail
won't miss it
fix it later
told me to
call my mobile
call my cell
let's take this offline
come by my office
crime
unlawful
don't forward
i am giving you leeway
not hurting anyone
misleading
deceitful
guileful
obscure
conceal
cache
hide 
harbor
blackmail
extortion
misrepresentation
scam
artifice
cheat 
fake  
fraudulence
hocus-pocus
shakedown
trickery
mask
cloak
shelter
financial fraud
fraud ring
fraudster
honeypot
theft
